building_type,price,zip,kitchen_type,construction_Year,building_condition,heating_type,bedroom,province
apartment,237500,2180,installed,1978,good,gas,2,Antwerp
house,525000,2180,installed,1962,good,gas,3,Antwerp
apartment,189000,2940,semiequipped,1977,good,gas,2,Antwerp
house,675000,2220,installed,1982,good,gas,4,Antwerp
apartment,335000,2960,installed,2010,justrenovated,gas,2,Antwerp
house,475000,2650,semiequipped,1972,good,gas,4,Antwerp
apartment,289000,2930,semiequipped,2018,justrenovated,gas,2,Antwerp
apartment,275000,2018,semiequipped,1983,good,gas,1,Antwerp
house,537000,2230,installed,1962,justrenovated,gas,3,Antwerp
apartment,198000,2800,hyperequipped,1968,good,fueloil,1,Antwerp
apartment,215000,2100,semiequipped,1953,justrenovated,gas,2,Antwerp
apartment,265000,2070,semiequipped,2007,good,gas,2,Antwerp
apartment,229000,2100,installed,1973,good,gas,3,Antwerp
house,549500,2390,semiequipped,1965,good,gas,4,Antwerp
apartment,199000,2100,installed,1974,good,gas,2,Antwerp
apartment,195000,2020,installed,1958,good,electric,2,Antwerp
apartment,189650,2440,hyperequipped,1982,good,gas,2,Antwerp
apartment,169650,2440,installed,1982,good,gas,2,Antwerp
house,450000,2890,semiequipped,1972,good,fueloil,4,Antwerp
apartment,245000,2610,installed,1970,good,gas,3,Antwerp
apartment,135000,2430,semiequipped,2003,good,gas,2,Antwerp
house,399000,2650,semiequipped,1962,good,gas,3,Antwerp
house,645000,2800,semiequipped,1965,torenovate,fueloil,4,Antwerp
house,346000,2800,installed,1910,good,gas,3,Antwerp
apartment,249000,2170,hyperequipped,1964,justrenovated,gas,2,Antwerp
house,750000,2018,semiequipped,1906,good,fueloil,5,Antwerp
house,315000,2440,semiequipped,1965,good,fueloil,3,Antwerp
house,293000,2800,semiequipped,1914,good,gas,4,Antwerp
house,419000,2060,installed,1905,justrenovated,gas,3,Antwerp
house,395000,2170,installed,1960,good,gas,5,Antwerp
house,131000,2550,notinstalled,1930,good,gas,3,Antwerp
apartment,195000,2540,semiequipped,1958,good,gas,2,Antwerp
house,599000,2870,installed,1931,good,fueloil,3,Antwerp
apartment,415000,2600,semiequipped,1956,good,gas,3,Antwerp
apartment,209000,2830,installed,2001,good,gas,2,Antwerp
apartment,225000,2660,installed,2009,justrenovated,gas,2,Antwerp
house,155000,2850,semiequipped,1850,torenovate,gas,1,Antwerp
house,469000,2890,installed,2006,good,gas,3,Antwerp
apartment,149000,2630,installed,1955,torenovate,electric,2,Antwerp
house,525000,2800,installed,1849,torenovate,gas,2,Antwerp
house,449000,2100,hyperequipped,1955,good,gas,3,Antwerp
house,297000,2830,installed,1969,good,gas,3,Antwerp
house,399000,2930,semiequipped,2012,justrenovated,gas,3,Antwerp
